file,primary_role,notes_before,notes_after,reduced,harmony_preserved,trills,cc,korg_valid,musical_before,musical_after
Pravo_na_ljubav_-_M.Rokvic.mid,piano,9217,9217,0,0,0,9217,True,70.8,86.7
Prodjoh Bosnom kroz gradove - Safet Isovic ).mid,woodwind,7305,7305,0,0,370,7305,True,70.8,87.5
Prokleta_je_zena_ta_-_Halid_Beslic.mid,drums,12269,12269,0,0,0,12269,True,70.8,86.7
Prosla_si_pored_mene_-_Hakala.mid,drums,2132,2132,0,0,0,2132,True,70.8,86.7
Prvi poljubac - Halid Beslic ).mid,drums,5262,5262,0,0,0,5262,True,70.8,86.7
Pusti_me_vec_jednom_-_Serif_Konjevic.mid,piano,3489,3489,0,0,45,3489,True,70.8,87.5
"Putuj, putuj sreco moja - Halid Muslimovic ).mid",drums,8443,8443,0,0,0,8443,True,70.8,86.7
Rastajemo se mi - Ajnur Serbezovski ).mid,accordion,6377,6377,0,0,0,6377,True,70.8,86.7
Rastanak_nije_lako_-_Asim_Bajric.mid,drums,11599,11599,0,0,0,11599,True,70.8,86.7
Reci Mi Miko - Sinan Sakic ).mid,drums,8771,8771,0,0,6,8771,True,70.8,87.5
Reci sve zelje - Sinan Sakic ).mid,woodwind,8277,8277,0,0,258,8277,True,70.8,87.5
Rekla si mi - Kemal Malovcic ).mid,accordion,6603,6603,0,0,6,6603,True,70.8,87.5
Reskiraj_-_Sasa_Matic.mid,drums,8023,8023,0,0,902,8023,True,70.8,87.5
"Ritam_vozi,vozi_-_Dzej.mid",drums,12972,12972,0,0,0,12972,True,70.8,86.7
Robinja - Halid Beslic ).mid,piano,15580,15580,0,0,30,15580,True,70.8,87.5
Ruzmarin_-_Sasa_Matic.mid,organ,20526,20526,0,0,0,20526,True,70.8,86.6
Sabina - Sinan Sakic ).mid,drums,12373,12373,0,0,0,12373,True,70.8,86.7
Sad_je_kasno_-_Sasa_Matic.mid,drums,8547,8547,0,0,153,8547,True,70.8,87.5
Sam za stolom - Saban Saulic ).mid,accordion,12694,12694,0,0,60,12694,True,70.8,87.3
Samo tako - Milos Bojanic ).mid,accordion,14476,14476,0,0,267,14476,True,70.8,87.5
Sanela - Saban Saulic ).mid,drums,11457,11457,0,0,45,11457,True,70.8,87.5
Sanjam zenu s malisanom - Saban Saulic.mid,accordion,10341,10341,0,0,261,10341,True,70.8,87.5
Sarajevo grade moj - Halid Beslic ).mid,woodwind,10060,10060,0,0,0,10060,True,70.8,86.7
Selimbega_Jasmina_-_Asim_Bajric.mid,accordion,9819,9819,0,0,149,9819,True,70.8,87.5
Seti se - Kemal Malovcic ).mid,accordion,10176,10176,0,0,30,10176,True,70.8,87.5
Sijedi_starac_-_Halid_Beslic.mid,drums,10660,10660,0,0,16,10660,True,70.8,87.3
Sine - Saban Saulic ).mid,drums,4255,4255,0,0,0,4255,True,70.8,86.7
Sine moj - Asim Bajric ).mid,drums,5866,5866,0,0,0,5866,True,70.8,86.7
Sjecam se - Halid Beslic ).mid,accordion,13329,13329,0,0,78,13329,True,70.8,87.5
Sneg je opet Snezana - Saban Saulic ).mid,drums,10716,10716,0,0,0,10716,True,70.8,86.7
Srce na cesti - Film ).mid,drums,10398,10398,0,0,0,10398,True,70.8,86.7
